13 Oct 2024 - 18:54:22.512 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 11408 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
13 Oct 2024 - 18:54:22.534 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "dev"
13 Oct 2024 - 18:54:23.340 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13 Oct 2024 - 18:54:23.400 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 53 ms. Found 2 JPA repository interfaces.
13 Oct 2024 - 18:54:23.881 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
13 Oct 2024 - 18:54:23.902 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13 Oct 2024 - 18:54:23.902 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
13 Oct 2024 - 18:54:23.957 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
13 Oct 2024 - 18:54:23.957 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1376 ms
13 Oct 2024 - 18:54:24.056 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13 Oct 2024 - 18:54:24.136 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.5.2.Final
13 Oct 2024 - 18:54:24.182 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
13 Oct 2024 - 18:54:24.464 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
13 Oct 2024 - 18:54:24.490 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13 Oct 2024 - 18:54:24.649 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@376498da
13 Oct 2024 - 18:54:24.650 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
13 Oct 2024 - 18:54:24.722 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
13 Oct 2024 - 18:54:24.897 [main] WARN  org.hibernate.id.UUIDHexGenerator - HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
13 Oct 2024 - 18:54:25.584 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
13 Oct 2024 - 18:54:25.691 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
13 Oct 2024 - 18:54:26.157 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
13 Oct 2024 - 18:54:26.187 [main] INFO  o.s.s.c.a.a.c.InitializeAuthenticationProviderBeanManagerConfigurer$InitializeAuthenticationProviderManagerConfigurer - Global AuthenticationManager configured with AuthenticationProvider bean with name authenticationProvider
13 Oct 2024 - 18:54:26.187 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
13 Oct 2024 - 18:54:26.836 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
13 Oct 2024 - 18:54:26.844 [main] INFO  c.e.InterviewQuestionsApplication - Started InterviewQuestionsApplication in 4.799 seconds (process running for 5.503)
13 Oct 2024 - 18:54:26.957 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/Interview_questions (PostgreSQL 14.13)
13 Oct 2024 - 18:54:26.995 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.023s)
13 Oct 2024 - 18:54:27.004 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 1
13 Oct 2024 - 18:54:27.014 [main] INFO  o.f.core.internal.command.DbMigrate - Migrating schema "public" to version "2 - profile init"
13 Oct 2024 - 18:54:27.029 [main] INFO  o.f.core.internal.command.DbMigrate - Successfully applied 1 migration to schema "public", now at version v2 (execution time 00:00.003s)
13 Oct 2024 - 19:00:37.865 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m41s915ms262µs300ns).
13 Oct 2024 - 20:39:05.338 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=27m22s184ms890µs200ns).
13 Oct 2024 - 21:08:15.420 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3m39s679ms7µs100ns).
13 Oct 2024 - 21:10:31.211 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
13 Oct 2024 - 21:10:31.230 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
13 Oct 2024 - 21:10:31.237 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
13 Oct 2024 - 21:10:48.257 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 15992 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
13 Oct 2024 - 21:10:48.272 [main] INFO  c.e.InterviewQuestionsApplication - The following 1 profile is active: "dev"
13 Oct 2024 - 21:10:49.237 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13 Oct 2024 - 21:10:49.323 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 67 ms. Found 2 JPA repository interfaces.
13 Oct 2024 - 21:10:49.895 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
13 Oct 2024 - 21:10:49.906 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
13 Oct 2024 - 21:10:49.907 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.26]
